Director,Actor1,Actor2,Actor3,Rating,DirectorLikes,Actor1Likes,Actor2Likes,Actor3Likes
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,6.3,487,1000,919,776
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,5.6,258,16000,368,326
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,8.3,125,15000,1000,721
McG,Christian Bale,Bryce Dallas Howard,Common,6.6,368,23000,3000,988
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,7.0,395,17000,11000,1000
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,7.8,14000,19000,981,928
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,7.3,1000,29000,509,77
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,6.6,179,15000,567,236
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,6.2,14000,11000,1000,1000
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,6.8,113,275,150,113
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,7.2,56,2000,1000,838
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,7.5,681,998,119,105
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,8.4,475,1000,729,522
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,6.2,420,268,268,173
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,5.8,776,1000,468,310
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,6.6,282,11000,10000,103
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,6.9,80,1000,190,82
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,9.0,22000,23000,13000,11000
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,6.5,11,1000,973,459
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,7.9,4000,21000,12000,4000
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,7.5,17000,17000,16000,1000
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,4.8,188,10000,4000,582
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,5.2,357,5000,3000,595
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,6.9,452,10000,336,329
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,5.4,293,87000,11000,7000
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,7.9,218,10000,854,509
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,6.1,58,711,60,60
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,5.8,208,23000,2000,570
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,7.8,4000,19000,13000,591
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,7.0,4000,21000,19000,4000
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,6.1,274,26000,17000,11000
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,7.0,171,11000,2000,846
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,7.6,198,10000,2000,884
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,4.5,596,622,525,283
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,6.3,47,18000,1000,982
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,7.8,94,19000,11000,2000
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,6.4,31,4000,225,213
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,6.5,663,2000,638,604
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,7.9,38,756,719,562
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,7.8,66,975,931,833
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,5.5,776,890,812,535
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,8.2,255,18000,953,759
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,6.4,84,648,284,191
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,8.1,571,14000,14000,3000
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,8.6,22000,11000,11000,6000
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,8.8,22000,29000,27000,23000
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,8.2,28,544,106,12
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,6.7,357,23000,14000,4000
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,7.8,21000,11000,1000,919
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,7.8,905,34000,13000,1000
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,6.6,508,34000,22000,14000
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,6.1,226,12000,418,370
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,5.6,249,87000,2000,702
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,6.4,33,40000,25000,11000
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,6.1,50,3000,795,692
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,6.6,230,24000,10000,2000
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,6.3,150,531,82,59
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,7.5,282,21000,11000,687
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,7.6,179,21000,11000,10000
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,6.4,532,10000,9000,979
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,7.2,508,10000,1000,558
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,6.7,13000,40000,16000,588
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,8.0,663,1000,1000,954
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,8.3,22000,23000,14000,11000
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,6.7,35,1000,851,436
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,5.9,189,49000,3000,1000
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,6.7,151,20000,16000,2000
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,7.6,69,1000,523,490
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,7.1,230,26000,20000,12000
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,8.1,750,27000,9000,943
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,6.7,2000,15000,745,294
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,6.9,59,17000,759,699
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,5.1,12,730,607,182
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,5.8,473,14000,897,502
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,6.2,13000,40000,17000,16000
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,7.4,188,10000,10000,641
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,5.8,394,12000,490,162
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,6.2,58,2000,852,826
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,7.3,90,11000,10000,15
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,6.9,14000,22000,10000,979
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,6.4,776,17000,551,256
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,5.4,25,921,562,433
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,6.7,42,20000,14000,586
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,5.8,456,20000,548,394
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,6.9,50,3000,1000,517
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,7.2,249,11000,5000,844
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,6.9,35,851,770,436
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,6.1,93,769,766,746
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,5.5,176,783,370,322
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,6.1,188,10000,3000,826
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,7.2,5,24000,11000,967
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,7.4,663,10000,10000,690
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,7.3,52,20000,315,161
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,6.1,23,957,550,233
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,7.7,380,10000,956,445
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,8.0,14000,26000,12000,981
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,7.9,255,18000,3000,953
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,5.5,295,18000,934,284
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,5.0,357,820,780,653
Richard Donner,Jet Li,Rene Russo,Darlene Love,6.6,503,5000,808,91
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,5.8,209,17000,12000,934
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,6.0,42,11000,973,848
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,6.4,6,12000,2000,422
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,6.9,394,11000,3000,2000
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,6.4,150,766,536,244
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,7.4,608,613,172,168
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,5.5,386,21000,17000,12000
George Miller,Robin Williams,Brad Pitt,Common,5.9,750,49000,11000,988
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,6.8,255,3000,1000,882
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,6.8,14000,535,400,358
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,6.5,13,16000,881,463
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,7.2,563,40000,1000,939
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,6.7,35,19000,411,179
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,8.1,521,13000,897,883
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,7.6,54,11000,967,562
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,7.4,235,2000,2000,680
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,7.6,508,34000,14000,523
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,6.7,12,17000,523,183
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,6.5,14000,10000,1000,807
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,6.7,50,4000,442,397
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,6.4,176,11000,702,282
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,7.4,14000,2000,871,845
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,6.6,1000,309,284,165
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,6.2,189,49000,3000,1000
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,7.3,96,24000,11000,8000
Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,5.6,124,16000,12000,1000
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,8.1,563,40000,5000,1000
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,6.7,508,34000,22000,14000
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,6.6,2000,15000,574,362
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,6.4,107,688,237,56
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,7.3,681,23000,14000,12000
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,5.8,255,14000,1000,850
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,7.5,719,605,308,217
John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,6.6,323,845,372,241
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,6.7,209,10000,826,602
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,3.7,541,920,890,409
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,6.0,2000,1000,722,636
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,6.4,776,15000,2000,812
John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,6.1,610,10000,794,653
Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,6.4,249,784,638,461
Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,5.6,167,11000,2000,702
Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,5.2,160,12000,701,402
Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,7.1,521,13000,365,265
McG,Demi Moore,Bernie Mac,Justin Theroux,4.8,368,2000,1000,1000
Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,5.4,50,886,799,537
Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,6.6,662,13000,2000,1000
David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,6.7,123,14000,850,567
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,6.2,294,10000,2000,1000
James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,5.3,274,273,216,157
James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,6.3,446,10000,973,877
Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,7.0,364,11000,10000,1000
James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,6.7,446,20000,992,929
Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,7.3,16,16000,15000,12000
John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,6.0,610,12000,836,617
Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,6.1,19,26000,11000,9000
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,5.9,473,833,809,429
Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,5.8,79,650,293,268
Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,6.3,13,5000,833,799
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,4.3,128,596,360,78
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,6.4,189,49000,3000,1000
Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,6.1,62,12000,2000,884
Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,6.5,55,811,766,387
Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,7.1,776,13000,2000,1000
Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,6.5,218,11000,11000,322
Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,6.3,124,14000,5000,1000
Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,7.5,17000,29000,3000,827
Rob Letterman,James Corden,Catherine Tate,Olly Alexander,4.9,11,480,392,116
Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,5.8,1000,11000,1000,741
Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,6.2,263,6000,1000,1000
Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,5.5,67,383,113,111
Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,5.4,6,12000,513,421
Robert Schwentke,Naomi Watts,Theo James,Zoë Kravitz,5.8,124,6000,5000,943
Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,7.1,189,20000,929,544
Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,5.4,67,681,71,40
Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,3.7,101,673,368,202
Gavin Hood,Harrison Ford,Moises Arias,Aramis Knight,6.7,151,11000,635,430
Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,7.2,235,13000,300,297
Frank Coraci,Jim Broadbent,Steve Coogan,Cécile De France,5.8,153,1000,1000,447
Bo Welch,Sean Hayes,Kelly Preston,Spencer Breslin,3.8,34,760,743,434
Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride,7.1,295,10000,981,466
Rob Minkoff,Chazz Palminteri,Nathan Lane,Jeffrey Jones,5.9,50,979,886,692
Ron Clements,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,7.1,63,852,578,525
Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,4.4,23,752,631,591
Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,6.5,57,12000,11000,3000
Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,7.7,14000,10000,798,533
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,8.0,258,6000,1000,834
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,5.7,13000,1000,658,567
Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,6.4,12000,18000,464,385
Paul Weitz,Robert De Niro,Blythe Danner,Teri Polo,5.5,80,22000,713,708
Adam McKay,Dwayne Johnson,Will Ferrell,Derek Jeter,6.7,285,12000,8000,107
Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,6.1,55,1000,773,383
Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,8.5,16000,29000,11000,265
Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke,6.9,21,2000,700,542
Mark Dindal,Eartha Kitt,Wendie Malick,John Fiedler,7.3,10,558,452,253
Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,6.7,165,26000,13000,13000
Jon Turteltaub,Nicolas Cage,Armando Riesco,Annie Parisse,6.9,226,12000,625,341
Stefen Fangmeier,Djimon Hounsou,Ed Speleers,Gary Lewis,5.1,14,3000,762,203
Chris Wedge,Josh Hutcherson,Emma Kenney,Troy Evans,6.7,77,14000,151,120
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,6.0,207,40000,11000,3000
Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,8.0,380,29000,3000,452
Martin Scorsese,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,8.2,17000,29000,11000,4000
Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,5.4,541,920,710,680
Paul Verhoeven,Jake Busey,Patrick Muldoon,Seth Gilliam,7.2,719,660,475,423
Tom Tykwer,Tom Hanks,Jim Sturgess,Jim Broadbent,7.5,670,15000,5000,1000
Pitof,Frances Conroy,Christopher Heyerdahl,Alex Borstein,3.3,26,827,825,566
Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,6.0,420,12000,3000,467
Ron Clements,Joseph Gordon-Levitt,Martin Short,Michael Wincott,7.1,63,23000,770,720
Brad Silberling,Will Ferrell,Anna Friel,Bobb'e J. Thompson,5.4,52,8000,735,526
Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,6.1,385,26000,13000,11000
Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,5.3,19,1000,897,848
Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,2.2,6,490,294,227
Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,7.0,2000,26000,911,571
Ron Underwood,Rosario Dawson,Randy Quaid,Burt Young,3.8,31,3000,695,683
Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,6.9,521,13000,537,95
Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,7.2,20,144,42,36
David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,7.3,342,623,508,393
Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,6.3,208,12000,3000,591
Martin Scorsese,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,7.5,17000,29000,14000,1000
Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,7.6,611,23000,196,28
Ash Brannon,Jeff Bridges,Zooey Deschanel,Jon Heder,6.8,9,12000,11000,970
Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,6.2,116,8000,331,329
Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,4.3,127,962,740,722
Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,6.9,10,2000,919,442
Steve Martino,Peter Dinklage,Josh Gad,Drake,6.6,20,22000,1000,916
Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,8.2,475,1000,939,799
Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,5.5,44,12000,3000,766
Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,5.7,165,11000,509,240
Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,5.9,394,693,595,527
Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,7.6,81,11000,1000,779
Mark Waters,Martin Short,Tod Fennell,Joan Plowright,6.6,70,770,419,330
John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,5.3,212,13000,787,476
John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,6.0,102,2000,973,877
Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,8.0,663,1000,723,55
Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,5.6,212,1000,903,810
Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,7.3,188,10000,826,602
John Lasseter,Tom Hanks,John Ratzenberger,Wayne Knight,7.9,487,15000,1000,967
Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,6.8,12000,18000,3000,1000
Brett Ratner,Mei Melançon,John Lone,Harris Yulin,6.6,420,191,165,141
Phil Lord,Will Forte,Bobb'e J. Thompson,Al Roker,7.0,97,622,526,56
Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,7.0,107,835,256,117
McG,Bill Murray,LL Cool J,Kelly Lynch,5.5,368,13000,1000,466
Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,8.5,17000,29000,13000,1000
Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,7.5,7,2000,500,484
David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,7.8,21000,18000,1000,585
John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,7.6,323,13000,559,489
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,6.1,335,11000,745,635
Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,6.8,21,12000,802,503
Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,5.0,12,35000,1000,1000
Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,5.5,221,11000,600,503
Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,7.1,14000,3000,882,681
Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,4.9,50,691,569,441
Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,5.7,719,833,624,423
Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,6.4,521,591,249,249
Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,5.9,87,8000,956,918
Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,5.5,101,18000,11000,3000
Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,6.9,209,11000,11000,886
Phillip Noyce,Alun Armstrong,Michael Byrne,Velibor Topic,6.2,176,192,117,84
Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,7.0,12000,11000,577,307
Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,7.0,107,11000,560,350
Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,5.4,81,3000,643,612
Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,6.1,79,11000,11000,2000
John Milius,William Smith,Mako,Sandahl Bergman,6.9,468,919,691,183
Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,8.0,2000,680,655,537
Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,4.4,96,887,886,554
Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,7.3,378,12000,947,599
Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,6.3,101,22000,946,848
George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,6.5,750,49000,20000,971
